,Unnamed: 0,Scorecard,Team 1,Team 2,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,year,Day,Margin,Victory
2523,2528,ODI # 2645,India,Pakistan,Kanpur,2007-11-11,India,India,Home,Away,First,Second,2007,Sunday,46 runs,batting first
2524,2529,ODI # 2646,India,Pakistan,Gwalior,2007-11-15,India,India,Home,Away,Second,First,2007,Thursday,6 wickets,batting second
2525,2530,ODI # 2647,India,Pakistan,Jaipur,2007-11-18,Pakistan,India,Home,Away,Second,First,2007,Sunday,31 runs,batting first
2551,2556,ODI # 2676,India,Sri Lanka,Canberra,2008-02-12,Sri Lanka,Australia,Neutral,Neutral,First,Second,2008,Tuesday,8 wickets,batting second
2556,2561,ODI # 2681,India,Sri Lanka,Adelaide,2008-02-19,India,Australia,Neutral,Neutral,Second,First,2008,Tuesday,2 wickets,batting second
2560,2565,ODI # 2686,India,Sri Lanka,Hobart,2008-02-26,India,Australia,Neutral,Neutral,Second,First,2008,Tuesday,7 wickets,batting second
2578,2583,ODI # 2705,India,Pakistan,Dhaka,2008-06-10,India,Bangladesh,Neutral,Neutral,First,Second,2008,Tuesday,140 runs,batting first
2580,2585,ODI # 2707,India,Pakistan,Dhaka,2008-06-14,Pakistan,Bangladesh,Neutral,Neutral,Second,First,2008,Saturday,25 runs,batting first
2604,2609,ODI # 2732,India,Sri Lanka,Karachi,2008-07-03,India,Pakistan,Neutral,Neutral,Second,First,2008,Thursday,6 wickets,batting second
2607,2612,ODI # 2735,India,Sri Lanka,Karachi,2008-07-06,Sri Lanka,Pakistan,Neutral,Neutral,Second,First,2008,Sunday,100 runs,batting first
2642,2647,ODI # 2774,India,England,Rajkot,2008-11-14,India,India,Home,Away,First,Second,2008,Friday,158 runs,batting first
2645,2650,ODI # 2777,India,England,Indore,2008-11-17,India,India,Home,Away,First,Second,2008,Monday,54 runs,batting first
2646,2651,ODI # 2778,India,England,Kanpur,2008-11-20,India,India,Home,Away,First,Second,2008,Thursday,16 runs,batting first
2649,2654,ODI # 2781,India,England,Bengaluru,2008-11-23,India,India,Home,Away,First,Second,2008,Sunday,19 runs,batting first
2651,2656,ODI # 2783,India,England,Cuttack,2008-11-26,India,India,Home,Away,Second,First,2008,Wednesday,6 wickets,batting second
2748,2753,ODI # 2886,India,New Zealand,Colombo,2009-09-11,India,Sri Lanka,Neutral,Neutral,Second,First,2009,Friday,6 wickets,batting second
2760,2765,ODI # 2898,India,Pakistan,Centurion,2009-09-26,Pakistan,South Africa,Neutral,Neutral,Second,First,2009,Saturday,54 runs,batting first
2765,2770,ODI # 2904,India,West Indies,Johannesburg,2009-09-30,India,South Africa,Neutral,Neutral,Second,First,2009,Wednesday,7 wickets,batting second
2774,2779,ODI # 2913,India,Australia,Vadodara,2009-10-25,Australia,India,Home,Away,Second,First,2009,Sunday,4 runs,batting first
2776,2781,ODI # 2915,India,Australia,Nagpur,2009-10-28,India,India,Home,Away,First,Second,2009,Wednesday,99 runs,batting first
2779,2784,ODI # 2918,India,Australia,Delhi,2009-10-31,India,India,Home,Away,Second,First,2009,Saturday,6 wickets,batting second
2784,2789,ODI # 2923,India,Australia,Hyderabad,2009-11-05,Australia,India,Home,Away,Second,First,2009,Thursday,3 runs,batting first
2786,2791,ODI # 2925,India,Australia,Guwahati,2009-11-08,Australia,India,Home,Away,First,Second,2009,Sunday,6 wickets,batting second
2793,2798,ODI # 2932,India,Sri Lanka,Rajkot,2009-12-15,India,India,Home,Away,First,Second,2009,Tuesday,3 runs,batting first
2794,2799,ODI # 2933,India,Sri Lanka,Nagpur,2009-12-18,Sri Lanka,India,Home,Away,First,Second,2009,Friday,3 wickets,batting second
2795,2800,ODI # 2934,India,Sri Lanka,Cuttack,2009-12-21,India,India,Home,Away,Second,First,2009,Monday,7 wickets,batting second
2796,2801,ODI # 2935,India,Sri Lanka,Kolkata,2009-12-24,India,India,Home,Away,Second,First,2009,Thursday,7 wickets,batting second
2798,2803,ODI # 2938,India,Sri Lanka,Dhaka,2010-01-05,Sri Lanka,Bangladesh,Neutral,Neutral,First,Second,2010,Tuesday,5 wickets,batting second
2801,2806,ODI # 2941,India,Sri Lanka,Dhaka,2010-01-10,India,Bangladesh,Neutral,Neutral,Second,First,2010,Sunday,8 wickets,batting second
2803,2808,ODI # 2943,India,Sri Lanka,Dhaka,2010-01-13,Sri Lanka,Bangladesh,Neutral,Neutral,First,Second,2010,Wednesday,4 wickets,batting second
2820,2825,ODI # 2961,India,South Africa,Jaipur,2010-02-21,India,India,Home,Away,First,Second,2010,Sunday,1 run,batting first
2821,2826,ODI # 2962,India,South Africa,Gwalior,2010-02-24,India,India,Home,Away,First,Second,2010,Wednesday,153 runs,batting first
2822,2827,ODI # 2963,India,South Africa,Ahmedabad,2010-02-27,South Africa,India,Home,Away,Second,First,2010,Saturday,90 runs,batting first
2842,2847,ODI # 2983,India,Sri Lanka,Bulawayo,2010-05-30,India,Zimbabwe,Neutral,Neutral,Second,First,2010,Sunday,7 wickets,batting second
2847,2852,ODI # 2988,India,Sri Lanka,Harare,2010-06-05,Sri Lanka,Zimbabwe,Neutral,Neutral,First,Second,2010,Saturday,6 wickets,batting second
2855,2860,ODI # 2996,India,Pakistan,Dambulla,2010-06-19,India,Sri Lanka,Neutral,Neutral,Second,First,2010,Saturday,3 wickets,batting second
2889,2894,ODI # 3030,India,New Zealand,Dambulla,2010-08-10,New Zealand,Sri Lanka,Neutral,Neutral,Second,First,2010,Tuesday,200 runs,batting first
2897,2902,ODI # 3039,India,New Zealand,Dambulla,2010-08-25,India,Sri Lanka,Neutral,Neutral,First,Second,2010,Wednesday,105 runs,batting first
2918,2923,ODI # 3060,India,Australia,Visakhapatnam,2010-10-20,India,India,Home,Away,Second,First,2010,Wednesday,5 wickets,batting second
2928,2933,ODI # 3070,India,New Zealand,Guwahati,2010-11-28,India,India,Home,Away,First,Second,2010,Sunday,40 runs,batting first
2930,2935,ODI # 3072,India,New Zealand,Jaipur,2010-12-01,India,India,Home,Away,Second,First,2010,Wednesday,8 wickets,batting second
2932,2937,ODI # 3074,India,New Zealand,Vadodara,2010-12-04,India,India,Home,Away,Second,First,2010,Saturday,9 wickets,batting second
2934,2939,ODI # 3076,India,New Zealand,Bengaluru,2010-12-07,India,India,Home,Away,Second,First,2010,Tuesday,5 wickets,batting second
2935,2940,ODI # 3077,India,New Zealand,Chennai,2010-12-10,India,India,Home,Away,Second,First,2010,Friday,8 wickets,batting second
2975,2980,ODI # 3121,India,Ireland,Bengaluru,2011-03-06,India,India,Home,Away,Second,First,2011,Sunday,5 wickets,batting second
2978,2983,ODI # 3124,India,Netherlands,Delhi,2011-03-09,India,India,Home,Away,Second,First,2011,Wednesday,5 wickets,batting second
2982,2987,ODI # 3128,India,South Africa,Nagpur,2011-03-12,South Africa,India,Home,Away,First,Second,2011,Saturday,3 wickets,batting second
2995,3000,ODI # 3141,India,West Indies,Chennai,2011-03-20,India,India,Home,Away,First,Second,2011,Sunday,80 runs,batting first
2997,3002,ODI # 3143,India,Australia,Ahmedabad,2011-03-24,India,India,Home,Away,Second,First,2011,Thursday,5 wickets,batting second
3002,3007,ODI # 3148,India,Sri Lanka,Mumbai,2011-04-02,India,India,Home,Away,Second,First,2011,Saturday,6 wickets,batting second
3051,3056,ODI # 3199,India,England,Hyderabad,2011-10-14,India,India,Home,Away,First,Second,2011,Friday,126 runs,batting first
3053,3058,ODI # 3201,India,England,Delhi,2011-10-17,India,India,Home,Away,Second,First,2011,Monday,8 wickets,batting second
3059,3064,ODI # 3207,India,England,Mumbai,2011-10-23,India,India,Home,Away,Second,First,2011,Sunday,6 wickets,batting second
3062,3067,ODI # 3210,India,England,Kolkata,2011-10-25,India,India,Home,Away,First,Second,2011,Tuesday,95 runs,batting first
3069,3074,ODI # 3217,India,West Indies,Cuttack,2011-11-29,India,India,Home,Away,Second,First,2011,Tuesday,1 wicket,batting first
3071,3076,ODI # 3219,India,West Indies,Visakhapatnam,2011-12-02,India,India,Home,Away,Second,First,2011,Friday,5 wickets,batting second
3073,3078,ODI # 3221,India,West Indies,Ahmedabad,2011-12-05,West Indies,India,Home,Away,Second,First,2011,Monday,16 runs,batting first
3075,3080,ODI # 3223,India,West Indies,Indore,2011-12-08,India,India,Home,Away,First,Second,2011,Thursday,153 runs,batting first
3076,3081,ODI # 3224,India,West Indies,Chennai,2011-12-11,India,India,Home,Away,First,Second,2011,Sunday,34 runs,batting first
3085,3090,ODI # 3233,India,Sri Lanka,Perth,2012-02-08,India,Australia,Neutral,Neutral,Second,First,2012,Wednesday,4 wickets,batting second
3097,3102,ODI # 3246,India,Sri Lanka,Brisbane,2012-02-21,Sri Lanka,Australia,Neutral,Neutral,Second,First,2012,Tuesday,51 runs,batting first
3102,3107,ODI # 3251,India,Sri Lanka,Hobart,2012-02-28,India,Australia,Neutral,Neutral,Second,First,2012,Tuesday,7 wickets,batting second
3110,3115,ODI # 3259,India,Sri Lanka,Dhaka,2012-03-13,India,Bangladesh,Neutral,Neutral,First,Second,2012,Tuesday,50 runs,batting first
3114,3119,ODI # 3263,India,Pakistan,Dhaka,2012-03-18,India,Bangladesh,Neutral,Neutral,Second,First,2012,Sunday,6 wickets,batting second
3160,3165,ODI # 3314,India,Pakistan,Chennai,2012-12-30,Pakistan,India,Home,Away,First,Second,2012,Sunday,6 wickets,batting second
3161,3166,ODI # 3315,India,Pakistan,Kolkata,2013-01-03,Pakistan,India,Home,Away,Second,First,2013,Thursday,85 runs,batting first
3162,3167,ODI # 3316,India,Pakistan,Delhi,2013-01-06,India,India,Home,Away,First,Second,2013,Sunday,10 runs,batting first
3164,3169,ODI # 3318,India,England,Rajkot,2013-01-11,England,India,Home,Away,Second,First,2013,Friday,9 runs,batting first
3166,3171,ODI # 3320,India,England,Kochi,2013-01-15,India,India,Home,Away,First,Second,2013,Tuesday,127 runs,batting first
3168,3173,ODI # 3322,India,England,Ranchi,2013-01-19,India,India,Home,Away,Second,First,2013,Saturday,7 wickets,batting second
3174,3179,ODI # 3329,India,England,Dharamsala,2013-01-27,England,India,Home,Away,First,Second,2013,Sunday,7 wickets,batting second
3206,3211,ODI # 3363,India,South Africa,Cardiff,2013-06-06,India,England,Neutral,Neutral,First,Second,2013,Thursday,26 runs,batting first
3211,3216,ODI # 3368,India,West Indies,The Oval,2013-06-11,India,England,Neutral,Neutral,Second,First,2013,Tuesday,8 wickets,batting second
3213,3218,ODI # 3372,India,Pakistan,Birmingham,2013-06-15,India,England,Neutral,Neutral,Second,First,2013,Saturday,8 wickets,batting second
3217,3222,ODI # 3376,India,Sri Lanka,Cardiff,2013-06-20,India,England,Neutral,Neutral,Second,First,2013,Thursday,8 wickets,batting second
3223,3228,ODI # 3382,India,Sri Lanka,Kingston,2013-07-02,Sri Lanka,West Indies,Neutral,Neutral,Second,First,2013,Tuesday,161 runs,batting first
3227,3232,ODI # 3387,India,Sri Lanka,Port of Spain,2013-07-09,India,West Indies,Neutral,Neutral,First,Second,2013,Tuesday,81 runs,batting first
3228,3233,ODI # 3388,India,Sri Lanka,Port of Spain,2013-07-11,India,West Indies,Neutral,Neutral,Second,First,2013,Thursday,1 wicket,batting first
3256,3261,ODI # 3419,India,Australia,Pune,2013-10-13,Australia,India,Home,Away,Second,First,2013,Sunday,72 runs,batting first
3257,3262,ODI # 3420,India,Australia,Jaipur,2013-10-16,India,India,Home,Away,Second,First,2013,Wednesday,9 wickets,batting second
3260,3265,ODI # 3424,India,Australia,Nagpur,2013-10-30,India,India,Home,Away,Second,First,2013,Wednesday,6 wickets,batting second
3264,3269,ODI # 3428,India,Australia,Bengaluru,2013-11-02,India,India,Home,Away,First,Second,2013,Saturday,57 runs,batting first
3271,3276,ODI # 3436,India,West Indies,Kochi,2013-11-21,India,India,Home,Away,Second,First,2013,Thursday,6 wickets,batting second
3272,3277,ODI # 3437,India,West Indies,Visakhapatnam,2013-11-24,West Indies,India,Home,Away,First,Second,2013,Sunday,2 wickets,batting second
3274,3279,ODI # 3439,India,West Indies,Kanpur,2013-11-27,India,India,Home,Away,Second,First,2013,Wednesday,5 wickets,batting second
3309,3314,ODI # 3476,India,Sri Lanka,Fatullah,2014-02-28,Sri Lanka,Bangladesh,Neutral,Neutral,First,Second,2014,Friday,2 wickets,batting second
3312,3317,ODI # 3479,India,Pakistan,Dhaka,2014-03-02,Pakistan,Bangladesh,Neutral,Neutral,First,Second,2014,Sunday,1 wicket,batting first
3363,3368,ODI # 3531,India,West Indies,Kochi,2014-10-08,West Indies,India,Home,Away,Second,First,2014,Wednesday,124 runs,batting first
3365,3370,ODI # 3533,India,West Indies,Delhi,2014-10-11,India,India,Home,Away,First,Second,2014,Saturday,48 runs,batting first
3367,3372,ODI # 3535,India,West Indies,Dharamsala,2014-10-17,India,India,Home,Away,First,Second,2014,Friday,59 runs,batting first
3370,3375,ODI # 3539,India,Sri Lanka,Cuttack,2014-11-02,India,India,Home,Away,First,Second,2014,Sunday,169 runs,batting first
3371,3376,ODI # 3540,India,Sri Lanka,Ahmedabad,2014-11-06,India,India,Home,Away,Second,First,2014,Thursday,6 wickets,batting second
3374,3379,ODI # 3543,India,Sri Lanka,Hyderabad,2014-11-09,India,India,Home,Away,Second,First,2014,Sunday,6 wickets,batting second
3375,3380,ODI # 3544,India,Sri Lanka,Kolkata,2014-11-13,India,India,Home,Away,First,Second,2014,Thursday,153 runs,batting first
3378,3383,ODI # 3547,India,Sri Lanka,Ranchi,2014-11-16,India,India,Home,Away,Second,First,2014,Sunday,3 wickets,batting second
3430,3435,ODI # 3602,India,Pakistan,Adelaide,2015-02-15,India,Australia,Neutral,Neutral,First,Second,2015,Sunday,76 runs,batting first
3438,3443,ODI # 3610,India,South Africa,Melbourne,2015-02-22,India,Australia,Neutral,Neutral,First,Second,2015,Sunday,130 runs,batting first
3446,3451,ODI # 3618,India,U.A.E.,Perth,2015-02-28,India,Australia,Neutral,Neutral,Second,First,2015,Saturday,9 wickets,batting second
3453,3458,ODI # 3625,India,West Indies,Perth,2015-03-06,India,Australia,Neutral,Neutral,Second,First,2015,Friday,4 wickets,batting second
3459,3464,ODI # 3631,India,Ireland,Hamilton,2015-03-10,India,New Zealand,Neutral,Neutral,Second,First,2015,Tuesday,8 wickets,batting second
3464,3469,ODI # 3636,India,Zimbabwe,Auckland,2015-03-14,India,New Zealand,Neutral,Neutral,Second,First,2015,Saturday,6 wickets,batting second
3515,3520,ODI # 3689,India,South Africa,Kanpur,2015-10-11,South Africa,India,Home,Away,Second,First,2015,Sunday,5 runs,batting first
3518,3523,ODI # 3692,India,South Africa,Indore,2015-10-14,India,India,Home,Away,First,Second,2015,Wednesday,22 runs,batting first
3521,3526,ODI # 3695,India,South Africa,Rajkot,2015-10-18,South Africa,India,Home,Away,Second,First,2015,Sunday,18 runs,batting first
3524,3529,ODI # 3698,India,South Africa,Chennai,2015-10-22,India,India,Home,Away,First,Second,2015,Thursday,35 runs,batting first
3526,3531,ODI # 3700,India,South Africa,Mumbai,2015-10-25,South Africa,India,Home,Away,Second,First,2015,Sunday,214 runs,batting first
3616,3621,ODI # 3796,India,New Zealand,Dharamsala,2016-10-16,India,India,Home,Away,Second,First,2016,Sunday,6 wickets,batting second
3617,3622,ODI # 3797,India,New Zealand,Delhi,2016-10-20,New Zealand,India,Home,Away,Second,First,2016,Thursday,6 runs,batting first
3619,3624,ODI # 3799,India,New Zealand,Ranchi,2016-10-26,New Zealand,India,Home,Away,Second,First,2016,Wednesday,19 runs,batting first
3620,3625,ODI # 3800,India,New Zealand,Visakhapatnam,2016-10-29,India,India,Home,Away,First,Second,2016,Saturday,190 runs,batting first
